Stichwort,Datum
Öffentlich-rechtlicher Entsorgungsträger,23.9.2010
Bezirkshaushalte,30.9.2010
Geschäftsordnung des Abgeordnetenhauses: Abwahl des Ausschussvorsitzenden Untersuchungsausschuss,7.10.2010
"Verfassung von Berlin vom 23. November 1995 Art. 9 Abs. 2 (Unschuldsvermutung), Korruptionsregister",8.10.2010
"Zweites Gesetz zur Änderung des Berliner Ladenöffnungsgesetzes, Sonn- und Feiertagsruhe",8.11.2010
"ALG II – Kürzung bei Schulpflichtverstößen, allgemeine Kitapflicht",7.1.2011
arbeitnehmerähnliche Personen,17.1.2011
Volkshochschuldozenten,17.1.2011
Berufsfreiheit,2.5.2011
Übergangsregelung (Gesetzentwurf zu Spielhallen),2.5.2011
Untersuchungsausschuss: Einsicht in Untersuchungsunterlagen (durch Abgeordnete),5.5.2011
Abgeordnete: Anspruch auf Terminsverlegung im Gerichtsverfahren wg. parlamentarischer Tätigkeit,6.6.2011
Gewaltenteilungsgrundsatz: Gerichtsverwaltung = Exekutive,22.8.2011
Landeshaushaltsordnung: § 7 (Kosten- und Leistungsrechnung),22.8.2011
Verhaltensregeln für Abgeordnete: Übertragbarkeit Mitgl. des Bundestages auf Teilzeitparlamentarier,10.10.2011
Öffentlichkeit der Beratungen des Rechtsausschusses,11.4.2012
Verfassung von Berlin vom 1. September 1950: Art. 87 Abs. 1 (Leistung von Sicherheiten),31.5.2012
§ 37 Abs. 3 (Fristbeginn beim Organstreitverfahren wg. Unterlassen),31.5.2012
Vertrag zur Teilprivatisierung der Berliner Wasserbetriebe: Konsortialvertrag (§ 23.7),31.5.2012
Vertrag zur Teilprivatisierung der Berliner Wasserbetriebe,17.8.2012
"Vergaberecht: Aufhebung von Vergabeverfahren, Ausschreibung S-Bahnnetz",29.8.2012
"Anstaltsrecht, Privatisierung",9.10.2012
Konzessionsvergabe bei Energienetzen,8.11.2012
Sperrklausel (Vertretung einer Partei oder Listenvereinigung im Berliner „Zustimmung des Abghs mit Maßgaben“,11.12.2012
Zustimmung des Abgeordnetenhaus(hier: Aufgabe von Sportflächen nach § 7 II SportFG),11.12.2012
fehlerhafter Bebauungsplan/Rechtsfolgen,18.12.2012
Grundgesetz: Art. 125a,15.1.2013
Ausschussüberweisungen: Sitzung außerhalb Berlins,5.2.2013
Ultra Vires,5.2.2013
Verbandskompetenz,5.2.2013
"LHO, Investitionsplanung, § 31 LHO + AV LHO",8.3.2013
Geschäftsordnung des Abgeordnetenhauses: § 5 (Einsicht in die Akten und Dateien),10.4.2013
Untersuchungsausschussgesetz: § 25 Abs. 1 (Einzelvernehmung von Zeugen),10.4.2013
Bindungswirkung: Berichte des Senats,25.4.2013
"Rückruf(des Ausschussvorsitzenden durch die Fraktion, Verfassungsausschuss)",25.6.2013
Flughafen Berlin-Tegel (Weiterbetrieb),26.6.2013
Gesetzesvorbehalt: Geschlossene Unterbringung Minderjähriger,18.7.2013
Urheberrechtsschutz (parlamentarische Materialien),16.9.2013
Grundgesetz: Art. 6 Abs. 2 (Eingriff in elterliches Erziehungsrecht durch vorschulische Sprachförderung),8.11.2013
Parteienfinanzierung (indirekte),12.12.2013
Wahlrecht: Gleichbehandlung im Bezirkselternausschuss,9.1.2014
Volksbegehren: Gültigkeit von Unterstützungsunterschriften,27.2.2014
„Mindestvorschlagsrecht“ bei Einsetzung einer Enquete-Kommission,8.4.2014
Abgeordnetenstatus: Fragerecht (Antwortfrist auf schriftliche Fragen),15.5.2014
Untersuchungsausschuss: Zeitliche Abgeschlossenheit des Untersuchungsauftrags,10.6.2014
Flüchtlingsheim/-unterkunft,31.10.2014
Lehrkräftebildung,24.11.2014
Parlamentarische Exekutivkontrolle: Gestaltungsfreiheit des Verordnungsgebers,24.11.2014
Wirtschaftspläne (Anspruch d. Parlaments auf Vorlage),28.11.2014
"Risikoabschirmung: Berlinovo-Gruppe, Squeeze Out, Insolvenzabsicherung",9.1.2015
Hochschulrahmengesetz: Regelstudienzeit,23.1.2015
Seniorenmitwirkungsgesetz,28.1.2015
Wahl: Kopplung der Abgeordnetenhauswahlen mit anderen Wahlen,28.1.2015
Gültigkeit/rechtl. Qualität,6.2.2015
Werbemaßnahmen des Senats bei Plebisziten,27.2.2015
Vergaberecht: Regulierung des Berliner Fernwärmenetzes,6.3.2015
"Rundfunkfreiheit, ZDF-Staatsvertrag, Fernsehrat",26.5.2015
Einweggeschirr,30.10.2015
Entwicklungsgarantie,8./24.04.92
