Stichwort,Datum
Berliner Hochschulgesetz: § 71 Abs. 1 (Wahl des Leiters der Hochschule),18.7.1984
Amtsführung (des Reg. Bürgermeisters und der Senatoren),10.8.1984
Kandidatennominierung (vor der Veröffentlichung der Wahlkreiseinteilung),19.9.1984
Schadensersatzregelungen (im geltenden Umweltrecht),22.10.1984
Enquete-Kommission: Bericht,6.11.1984
Berlin: Wirtschaftsdatengesetz,8.11.1984
Senat: Weisungsrecht in Personalangelegenheiten für Lehrer,9.11.1984
Politischer Beamter (Wiederverwendung),13.11.1984
Abgeordnetenhaus: Anspruch auf Vorlage von Polizeidienstvorschriften,10.1.1985
Verfassung von Berlin vom 1. September 1950: 21. Gesetz zur Änderung,11.1.1985
Hauseigentümer (Hausverbot für Abgeordnete),23.1.1985
Untersuchungsausschuss: öffentliche Sitzung,28.2.1985
Fraktionsbildung: Bezirksverordnetenversammlung,14.3.1985
Arbeitsrecht: gleichberechtigungsrelevante Rechtsgrundlagen,27.3.1985
Deutsche Bundespost (technisches Versuchsprogramm zum Kabelpilotprojekt),10.7.1985
"Gesetz zur Beschränkung des Brief-, Post- und Fernmeldegeheimnisses",18.7.1985
Geschäftsordnung des Abgeordnetenhauses: Zusatz- und Änderungsanträge,23.10.1985
Verschlusssachenanweisung (Einschränkung der Fragemöglichkeiten von Abgeordneten),1.11.1985
Betriebs- und Geschäftsgeheimnisse (Schutz bei Kleinen Anfragen),13.11.1985
Arbeitsplatzgarantie (nach Beendigung der Mandatszeit),18.11.1985
Personalvertretung (Mitwirkungsrechte bei Kennzeichnung von Polizeibeamten),29.11.1985
Schule (Religionsunterricht),6.12.1985
Parlamentarische Exekutivkontrolle: Aktenvorlagepflicht der Exekutive,27.2.1986
Selbstbefassungsrecht: Grenzen bei Überweisung an die Ausschüsse,24.3.1986
Beweiserhebungsverfahren (Umfang und Grenzen bei Untersuchungsausschüssen),2.4.1986
Verfassungsgerichtshof: Einrichtung in Berlin,14.5.1986
Wohnungsdurchsuchung (Regelungen über die Anwesenheit von herbeigerufenen Zeugen),23.5.1986
Vertretung des Regierenden Bürgermeisters in der Fragestunde,29.5.1986
Disziplinarverfahren: disziplinarrechtliche Vorwürfe gegen Bezirksamtsmitglieder,11.6.1986
Auskunftsverweigerungsrecht (vor Untersuchungsausschüssen),23.6.1986
Wiederverwendungsanspruch (von Beamten),27.6.1986
Berliner Hochschulgesetz: Entwurf zur Novellierung,3.7.1986
Zivilschutz: Regelungen und Durchführung,15.8.1986
Krankenhauskonferenz (Zuständigkeit für Bestellung von Abteilungsleitern),26.8.1986
Zivilschutz: Rechtsgrundlage für den Zivilschutz,27.8.1986
Bezirksverordnetenvorsteher (Tragen von Amtsketten),17.9.1986
Tiefbaumaßnahmen (Planung und Leitung durch freiberuflich tätige Architekten und Ingenieure),18.9.1986
"Landeswahlgesetz: Fristen, Wahlvorschläge",23.9.1986
"Entschädigungsrecht (Wiedergutmachung; konkurrierende Gesetzgebung, Art. 74 Nr. 9 GG)",12.11.1986
Beweiserhebung: Untersuchungsausschuss,27.11.1986
Erbbaurechtsvertrag (Auswirkung gesellschaftsrechtlicher Veränderungen in der Person des Erbbauberechtigten),16.1.1987
Weiterbildungsgesetz (Gesetzesantrag der SPD-Fraktion),27.1.1987
Enquete-Kommission: Aktenvorlagepflicht des Senats,26.2.1987
Abgeordnetenstatus: Rederecht,5.3.1987
Abgeordnetenmandat: Unvereinbarkeit von Amt und Mandat; Ländervergleich,19.3.1987
Minderheitenrechte (bei Untersuchungsausschüssen),28.4.1987
Landesbeamtengesetz: §§ 35a und 43 (Teilzeitarbeit und Urlaub),4.5.1987
Berliner Richtergesetz (Drittes Gesetz zur Änderung),8.5.1987
Untersuchungsausschuss: Erweiterung des Untersuchungsauftrags,14.5.1987
Bundeskompetenz (für die Errichtung eines Deutschen Historischen Museums),7.7.1987
Aussprache (über persönliche Bemerkungen),19.1.1988
Berliner Stadtreinigungs-Betriebe: Teilung des Betriebes in einen Monopol- und Wettbewerbsteil,25.2.1988
Gästeregelung (bei Gremiensitzungen),7.3.1988
Landesberufsbildungsgesetz (Gesetzesantrag der AL-Fraktion/Kompetenz des Berliner Gesetzgebers),16.3.1988
Abfälle (Entsorgung durch private Dritte),28.4.1988
Ausschuss für Verfassungsschutz (Zulässigkeit einer Überschreitung der in einer gesetzlichen Soll-Vorschrift festgelegten Mitgliederhöchstzahl),7.6.1988
Bundesrecht (Verfahren der Übernahme durch das Abgeordnetenhaus),22.7.1988
Verwaltungsvorschriften: Abänderungs- oder Aufhebungsbefugnis des Abgeordnetenhauses,22.9.1988
Berliner Verkehrs-Betriebe: Gesamtnetzkarte,28.9.1988
Bauleitplanungsrecht,5.10.1988
"Gesetz über die Anerkennung und Versorgung der politisch, rassisch und religiös Verfolgten des Nationalsozialismus (11. Gesetz zur Änderung)",4.11.1988
Bundesentschädigungsgesetz,5.11.1988
Einsetzung eines parlamentarischen Untersuchungsausschusses: Verfassungsfragen der Zulässigkeit,4.4.1989
Rudolf-Virchow-Krankenhaus: Eingliederung in die Freie Universität Berlin,18.5.1989
Bezirksverordnetenversammlung: Wahlrecht für Ausländer,7.8.1989
Akademie der Wissenschaften zu Berlin: Gesetzesantrag der Fraktionen von SPD und AL zur Auflösung,13.11.1989
Befangenheit eines Bundesverfassungsrichters (Dr. Rottmann) (Materialzusammenstellung),20.12.1989
Bebauungsplan: Verfügbarmachung von öffentlichem Straßenland für den Wohnungsbau,13.3.1990
